hello	merhaba
hello world	merhaba dünya
good morning	günaydın
good night	iyi geceler
good evening	iyi akşamlar
thank you	teşekkür ederim
thank you very much	çok teşekkür ederim
you are welcome	rica ederim
please	lütfen
yes	evet
no	hayır
how are you	nasılsın
i am fine	ben iyiyim
i am happy	ben mutluyum
i am tired	ben yorgunum
i am a student	ben bir öğrenciyim
i am a teacher	ben bir öğretmenim
you are my friend	sen benim arkadaşımsın
he is a doctor	o bir doktor
she is a teacher	o bir öğretmen
we are friends	biz arkadaşız
they are students	onlar öğrenci
this is a book	bu bir kitap
this is a house	bu bir ev
this is my car	bu benim arabam
that is a tree	o bir ağaç
the house is big	ev büyük
the house is small	ev küçük
the car is fast	araba hızlı
the book is good	kitap iyi
the water is cold	su soğuk
the weather is nice	hava güzel
the sun is hot	güneş sıcak
the night is dark	gece karanlık
i have a book	bir kitabım var
i have a car	bir arabam var
i have a house	bir evim var
i love you	seni seviyorum
i love my country	ülkemi seviyorum
i like coffee	kahve severim
i like tea	çay severim
i want water	su istiyorum
i want bread	ekmek istiyorum
i need help	yardıma ihtiyacım var
i am reading a book	bir kitap okuyorum
i am writing a letter	bir mektup yazıyorum
i am going home	eve gidiyorum
i am going to school	okula gidiyorum
we are going to the city	şehre gidiyoruz
he is going to work	o işe gidiyor
she is coming home	o eve geliyor
the children are playing	çocuklar oynuyor
the birds are singing	kuşlar şarkı söylüyor
the dog is running	köpek koşuyor
the cat is sleeping	kedi uyuyor
my mother is cooking	annem yemek yapıyor
my father is working	babam çalışıyor
my brother is a student	kardeşim öğrenci
my sister is a doctor	kız kardeşim doktor
the food is delicious	yemek lezzetli
the coffee is hot	kahve sıcak
the tea is cold	çay soğuk
i drink water every day	her gün su içerim
i read books every night	her gece kitap okurum
we live in a small house	küçük bir evde yaşıyoruz
they work in the city	şehirde çalışıyorlar
the city is very big	şehir çok büyük
the village is very small	köy çok küçük
the mountain is high	dağ yüksek
the river is long	nehir uzun
the sea is blue	deniz mavi
the sky is clear	gökyüzü açık
spring is beautiful	bahar güzel
summer is hot	yaz sıcak
winter is cold	kış soğuk
autumn is windy	sonbahar rüzgarlı
today is a good day	bugün güzel bir gün
tomorrow is monday	yarın pazartesi
i will come tomorrow	yarın geleceğim
i came yesterday	dün geldim
where are you	neredesin
where is the house	ev nerede
what is your name	adın ne
my name is ahmet	benim adım ahmet
how old are you	kaç yaşındasın
i am twenty years old	yirmi yaşındayım
i do not know	bilmiyorum
i understand	anlıyorum
i do not understand	anlamıyorum
can you help me	bana yardım eder misin
of course	tabii ki
see you tomorrow	yarın görüşürüz
goodbye	hoşça kal
welcome	hoş geldin
i am sorry	özür dilerim
do not worry	merak etme
it is very important	çok önemli
this is a beautiful book	bu güzel bir kitap
the teacher is reading a book	öğretmen bir kitap okuyor
the student is writing a letter	öğrenci bir mektup yazıyor
the woman is walking in the city	kadın şehirde yürüyor
the man is working at home	adam evde çalışıyor
my friend lives in a big city	arkadaşım büyük bir şehirde yaşıyor
we are learning turkish	türkçe öğreniyoruz
the world is very large	dünya çok büyük
knowledge is power	bilgi güçtür
time is precious	zaman değerlidir
